cod_ibge,total_familias,renda_media_pc,ivs_geral,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_trabalho,score_prioridade,faixa_prioridade,nome_municipio,uf,municipio,n_eventos_aderentes,valor_total_liberado,tem_historico
2103125,154,102.8896103896104,0.727,1.0,0.555,0.626,59.53,ALTA,Central do Maranhão,MA,,0,,False
2110278,172,78.3546511627907,0.757,0.964,0.634,0.674,59.11,ALTA,Santo Amaro do Maranhão,MA,,0,,False
2105104,1342,116.397913561848,0.759,1.0,0.604,0.672,58.95,ALTA,Icatu,MA,,0,,False
2105005,1338,126.4424514200299,0.764,1.0,0.632,0.659,58.6,ALTA,Humberto de Campos,MA,,0,,False
2112407,1859,80.10274341043572,0.703,0.948,0.604,0.556,58.09,ALTA,Turiaçu,MA,,0,,False
2100550,106,133.58490566037736,0.773,0.987,0.716,0.616,57.67,ALTA,Amapá do Maranhão,MA,,0,,False
2101301,266,193.28195488721803,0.733,1.0,0.591,0.608,57.19,ALTA,Bacuri,MA,,0,,False
2103703,2356,242.26358234295407,0.696,1.0,0.52,0.567,56.65,ALTA,Cururupu,MA,,0,,False
1508308,2309,82.04374187960155,0.741,0.92,0.672,0.63,56.4,ALTA,Viseu,PA,,0,,False
2102606,1201,165.07577019150708,0.697,0.972,0.59,0.53,56.11,ALTA,Cândido Mendes,MA,,0,,False
2108058,221,84.76470588235294,0.72,0.9,0.566,0.693,55.1,ALTA,Paulino Neves,MA,,0,,False
1508357,69,213.231884057971,0.706,0.96,0.586,0.572,54.74,ALTA,Vitória do Xingu,PA,,0,,False
2100832,1192,165.73909395973155,0.652,0.931,0.535,0.491,53.84,ALTA,Apicum-Açu,MA,,0,,False
2105658,95,159.2,0.7,0.925,0.647,0.529,53.64,ALTA,Junco do Maranhão,MA,,0,,False
2109452,1176,119.3095238095238,0.642,0.87,0.548,0.507,51.7,ALTA,Raposa,MA,,0,,False
2109270,1145,135.7368881118881,0.715,0.879,0.611,0.654,51.67,ALTA,Presidente Sarney,MA,,0,,False
2111748,165,145.27878787878788,0.704,0.877,0.714,0.522,51.31,ALTA,Senador Alexandre Costa,MA,,0,,False
2100709,1649,52.162522741055184,0.677,0.746,0.63,0.654,50.37,ALTA,Anajatuba,MA,,0,,False
2103174,276,113.3876811594203,0.716,0.84,0.766,0.542,50.27,ALTA,Centro Novo do Maranhão,MA,,0,,False
2102358,81,88.39506172839506,0.628,0.815,0.572,0.497,50.17,ALTA,Buritirana,MA,,0,,False
2112274,111,128.46846846846847,0.678,0.847,0.619,0.569,50.12,ALTA,Tufilândia,MA,,0,,False
2108306,1728,91.54140127388536,0.673,0.812,0.615,0.592,49.81,MEDIA,Penalva,MA,,0,,False
2609808,6,10.5,0.369,0.087,0.522,0.499,49.78,MEDIA,Orocó,PE,,0,,False
1503077,1261,133.1054718477399,0.694,0.843,0.681,0.559,49.76,MEDIA,Garrafão do Norte,PA,,0,,False
3165552,276,102.8586956521739,0.653,0.821,0.616,0.523,49.69,MEDIA,Setubinha,MG,,0,,False
1400159,530,110.6132075471698,0.674,0.814,0.615,0.593,48.95,MEDIA,Bonfim,RR,,0,,False
2111003,1509,85.23194168323393,0.673,0.788,0.565,0.666,48.9,MEDIA,São João Batista,MA,,0,,False
2105351,217,126.3410138248848,0.719,0.823,0.63,0.705,48.87,MEDIA,Itaipava do Grajaú,MA,,0,,False
1506112,63,105.7936507936508,0.683,0.807,0.648,0.593,48.78,MEDIA,Quatipuru,PA,,0,,False
2102408,164,124.6829268292683,0.708,0.819,0.622,0.684,48.7,MEDIA,Cajapió,MA,,0,,False
2103406,2243,162.54658938921088,0.696,0.835,0.668,0.586,48.62,MEDIA,Coelho Neto,MA,,0,,False
2112605,1711,117.09526592635883,0.663,0.798,0.628,0.563,47.82,MEDIA,Urbano Santos,MA,,0,,False
1502806,1325,86.5222641509434,0.666,0.768,0.664,0.567,47.72,MEDIA,Curralinho,PA,,0,,False
1501204,1520,96.14285714285714,0.606,0.771,0.531,0.516,47.29,MEDIA,Baião,PA,,0,,False
2109304,152,164.68421052631578,0.659,0.811,0.585,0.58,47.26,MEDIA,Presidente Vargas,MA,,0,,False
2101103,172,66.93023255813954,0.563,0.727,0.421,0.542,47.18,MEDIA,Axixá,MA,,0,,False
2111706,1409,69.8083747338538,0.644,0.731,0.586,0.614,47.09,MEDIA,São Vicente Ferrer,MA,,0,,False
2109403,225,100.67111111111112,0.66,0.765,0.64,0.574,46.72,MEDIA,Primeira Cruz,MA,,0,,False
2112704,2288,162.40603146853147,0.719,0.796,0.698,0.664,46.48,MEDIA,Vargem Grande,MA,,0,,False
2104081,142,139.8661971830986,0.784,0.782,0.742,0.827,46.22,MEDIA,Fernando Falcão,MA,,0,,False
2101772,195,123.4102564102564,0.67,0.772,0.605,0.633,46.16,MEDIA,Bela Vista do Maranhão,MA,,0,,False
1508050,82,265.109756097561,0.639,0.804,0.622,0.49,45.68,MEDIA,Trairão,PA,,0,,False
1501956,1102,67.33756805807623,0.668,0.697,0.759,0.549,45.49,MEDIA,Cachoeira do Piriá,PA,,0,,False
2105450,139,82.98561151079137,0.655,0.722,0.62,0.623,45.44,MEDIA,Jatobá,MA,,0,,False
1400704,299,59.76254180602007,0.694,0.677,0.744,0.661,45.34,MEDIA,Uiramutã,RR,,0,,False
2102002,1682,133.5856123662307,0.665,0.759,0.644,0.591,45.13,MEDIA,Bom Jardim,MA,,0,,False
2105906,247,132.8582995951417,0.69,0.758,0.662,0.651,45.1,MEDIA,Lago Verde,MA,,0,,False
2111904,185,139.14054054054054,0.62,0.758,0.566,0.535,44.92,MEDIA,Sucupira do Norte,MA,,0,,False
2100808,258,46.44186046511628,0.604,0.625,0.542,0.645,44.9,MEDIA,Anapurus,MA,,0,,False
2111250,120,175.275,0.618,0.767,0.575,0.513,44.65,MEDIA,São José dos Basílios,MA,,0,,False
2104206,250,116.008,0.621,0.736,0.644,0.482,44.45,MEDIA,Fortuna,MA,,0,,False
2100907,2233,104.9896999552172,0.682,0.726,0.674,0.646,44.36,MEDIA,Araioses,MA,,0,,False
2105609,193,195.68393782383416,0.634,0.766,0.603,0.534,44.29,MEDIA,Joselândia,MA,,0,,False
2105153,225,158.55555555555554,0.675,0.75,0.677,0.598,44.03,MEDIA,Igarapé do Meio,MA,,0,,False
