cod_ibge,total_familias,renda_media_pc,ivs_geral,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_trabalho,score_prioridade,faixa_prioridade
1506005,1859,91.7132867132867,0.744,0.992,0.649,0.591,59.7,ALTA
2103125,154,102.8896103896104,0.727,1.0,0.555,0.626,59.53,ALTA
2110278,172,78.3546511627907,0.757,0.964,0.634,0.674,59.11,ALTA
2105104,1342,116.397913561848,0.759,1.0,0.604,0.672,58.95,ALTA
2105005,1338,126.4424514200299,0.764,1.0,0.632,0.659,58.6,ALTA
2112407,1859,80.10274341043572,0.703,0.948,0.604,0.556,58.09,ALTA
2100550,106,133.58490566037736,0.773,0.987,0.716,0.616,57.67,ALTA
2101301,266,193.28195488721803,0.733,1.0,0.591,0.608,57.19,ALTA
2103703,2356,242.26358234295412,0.696,1.0,0.52,0.567,56.65,ALTA
1508308,2309,82.04374187960155,0.741,0.92,0.672,0.63,56.4,ALTA
2102606,1201,165.07577019150708,0.697,0.972,0.59,0.53,56.11,ALTA
1501006,66,175.16666666666666,0.769,0.974,0.576,0.758,56.04,ALTA
2108058,221,84.76470588235294,0.72,0.9,0.566,0.693,55.1,ALTA
1508357,69,213.231884057971,0.706,0.96,0.586,0.572,54.74,ALTA
1502855,73,177.58904109589042,0.661,0.947,0.49,0.545,54.51,ALTA
2100832,1192,165.73909395973155,0.652,0.931,0.535,0.491,53.84,ALTA
2105658,95,159.2,0.7,0.925,0.647,0.529,53.64,ALTA
1600550,111,41.648648648648646,0.576,0.74,0.521,0.468,52.47,ALTA
2112456,1504,79.59441489361703,0.695,0.842,0.6,0.643,52.3,ALTA
2108256,1476,113.81571815718158,0.74,0.873,0.665,0.681,52.07,ALTA
1303700,1262,134.310618066561,0.745,0.884,0.698,0.653,51.98,ALTA
2109452,1176,119.3095238095238,0.642,0.87,0.548,0.507,51.7,ALTA
2109270,1145,135.7368881118881,0.715,0.879,0.611,0.654,51.67,ALTA
2111748,165,145.27878787878788,0.704,0.877,0.714,0.522,51.31,ALTA
2106805,246,193.1788617886179,0.62,0.882,0.455,0.522,50.7,ALTA
2100709,1649,52.162522741055184,0.677,0.746,0.63,0.654,50.37,ALTA
2103174,276,113.3876811594203,0.716,0.84,0.766,0.542,50.27,ALTA
2102358,81,88.39506172839506,0.628,0.815,0.572,0.497,50.17,ALTA
2112274,111,128.46846846846847,0.678,0.847,0.619,0.569,50.12,ALTA
1503002,55,145.8,0.641,0.854,0.591,0.479,50.03,ALTA
2108306,1728,91.54140127388536,0.673,0.812,0.615,0.592,49.81,MEDIA
2609808,6,10.5,0.369,0.087,0.522,0.499,49.78,MEDIA
1503077,1261,133.1054718477399,0.694,0.843,0.681,0.559,49.76,MEDIA
3165552,276,102.8586956521739,0.653,0.821,0.616,0.523,49.69,MEDIA
2104305,144,120.57638888888889,0.639,0.834,0.554,0.53,49.67,MEDIA
2601052,983,166.9501525940997,0.655,0.846,0.536,0.583,49.14,MEDIA
1400159,530,110.6132075471698,0.674,0.814,0.615,0.593,48.95,MEDIA
2111003,1509,85.23194168323393,0.673,0.788,0.565,0.666,48.9,MEDIA
2105351,217,126.3410138248848,0.719,0.823,0.63,0.705,48.87,MEDIA
1506112,63,105.7936507936508,0.683,0.807,0.648,0.593,48.78,MEDIA
1303908,1359,175.17954378219278,0.693,0.841,0.59,0.648,48.72,MEDIA
2102408,164,124.6829268292683,0.708,0.819,0.622,0.684,48.7,MEDIA
2103406,2243,162.54658938921088,0.696,0.835,0.668,0.586,48.62,MEDIA
1301407,1547,95.98188874514877,0.706,0.791,0.736,0.591,48.4,MEDIA
1302306,253,121.56521739130434,0.743,0.808,0.724,0.696,48.21,MEDIA
2103554,271,186.38745387453875,0.669,0.829,0.655,0.524,47.88,MEDIA
2110401,255,89.91764705882353,0.719,0.774,0.701,0.683,47.82,MEDIA
2112605,1711,117.09526592635883,0.663,0.798,0.628,0.563,47.82,MEDIA
1502806,1325,86.5222641509434,0.666,0.768,0.664,0.567,47.72,MEDIA
1501204,1520,96.14285714285714,0.606,0.771,0.531,0.516,47.29,MEDIA
2109304,152,164.68421052631578,0.659,0.811,0.585,0.58,47.26,MEDIA
1303304,316,181.3955696202532,0.698,0.815,0.657,0.621,47.19,MEDIA
2101103,172,66.93023255813954,0.563,0.727,0.421,0.542,47.18,MEDIA
2102374,151,70.24503311258277,0.696,0.733,0.692,0.662,47.16,MEDIA
2111706,1409,69.8083747338538,0.644,0.731,0.586,0.614,47.09,MEDIA
2106904,1654,151.32769044740024,0.67,0.798,0.646,0.567,46.82,MEDIA
2109403,225,100.67111111111112,0.66,0.765,0.64,0.574,46.72,MEDIA
2112704,2288,162.40603146853147,0.719,0.796,0.698,0.664,46.48,MEDIA
2104081,142,139.8661971830986,0.784,0.782,0.742,0.827,46.22,MEDIA
1300607,1604,177.3422693266833,0.682,0.796,0.649,0.6,46.21,MEDIA
2101772,195,123.4102564102564,0.67,0.772,0.605,0.633,46.16,MEDIA
1508050,82,265.109756097561,0.639,0.804,0.622,0.49,45.68,MEDIA
1501956,1102,67.33756805807623,0.668,0.697,0.759,0.549,45.49,MEDIA
2105450,139,82.98561151079137,0.655,0.722,0.62,0.623,45.44,MEDIA
2109205,183,123.80874316939892,0.658,0.759,0.628,0.586,45.43,MEDIA
2102903,1527,123.92272429600524,0.627,0.759,0.617,0.506,45.43,MEDIA
1400704,299,59.76254180602007,0.694,0.677,0.744,0.661,45.34,MEDIA
1505908,1403,106.52459016393442,0.698,0.743,0.68,0.67,45.23,MEDIA
2102002,1682,133.5856123662307,0.665,0.759,0.644,0.591,45.13,MEDIA
2105906,247,132.8582995951417,0.69,0.758,0.662,0.651,45.1,MEDIA
2111904,185,139.14054054054054,0.62,0.758,0.566,0.535,44.92,MEDIA
2100808,258,46.44186046511628,0.604,0.625,0.542,0.645,44.9,MEDIA
1301803,284,81.0669014084507,0.706,0.708,0.768,0.643,44.81,MEDIA
2111250,120,175.275,0.618,0.767,0.575,0.513,44.65,MEDIA
2104206,250,116.008,0.621,0.736,0.644,0.482,44.45,MEDIA
2100907,2233,104.9896999552172,0.682,0.726,0.674,0.646,44.36,MEDIA
1301605,350,197.04,0.726,0.767,0.763,0.648,44.32,MEDIA
2105609,193,195.68393782383416,0.634,0.766,0.603,0.534,44.29,MEDIA
1300631,1348,122.5927299703264,0.696,0.735,0.744,0.61,44.16,MEDIA
1304237,273,148.25274725274724,0.644,0.746,0.67,0.515,44.03,MEDIA
2105153,225,158.55555555555554,0.675,0.75,0.677,0.598,44.03,MEDIA
2102705,273,147.3956043956044,0.687,0.744,0.66,0.656,43.94,MEDIA
1503754,84,131.57142857142858,0.644,0.735,0.683,0.513,43.87,MEDIA
2103158,165,188.3151515151515,0.631,0.755,0.673,0.464,43.79,MEDIA
1200393,167,98.90419161676648,0.661,0.71,0.707,0.566,43.78,MEDIA
2209450,44,173.8409090909091,0.577,0.748,0.438,0.545,43.63,MEDIA
2106409,260,35.33076923076923,0.562,0.54,0.594,0.551,43.6,MEDIA
1301001,1764,147.53828701077708,0.659,0.736,0.715,0.525,43.5,MEDIA
2105963,153,178.45098039215685,0.693,0.747,0.708,0.623,43.5,MEDIA
1300060,162,249.2037037037037,0.662,0.761,0.591,0.633,43.44,MEDIA
1500305,1817,122.70005503577325,0.729,0.719,0.776,0.691,43.27,MEDIA
2107605,1299,123.46112394149344,0.664,0.719,0.628,0.646,43.25,MEDIA
1506401,53,54.283018867924525,0.606,0.623,0.569,0.625,43.23,MEDIA
1505205,1471,84.30408163265307,0.637,0.683,0.585,0.642,43.2,MEDIA
2112100,1414,119.93564356435644,0.712,0.714,0.776,0.645,43.09,MEDIA
2107456,288,123.89583333333331,0.635,0.716,0.612,0.577,43.07,MEDIA
3100500,67,229.3283582089552,0.571,0.743,0.488,0.482,42.63,MEDIA
2107209,189,77.0,0.627,0.662,0.651,0.568,42.62,MEDIA
2101905,302,145.64238410596028,0.664,0.715,0.637,0.641,42.39,MEDIA
1400407,328,86.28658536585365,0.685,0.668,0.668,0.718,42.23,MEDIA
2111722,148,178.59459459459458,0.697,0.722,0.785,0.584,42.12,MEDIA
2607802,170,154.6764705882353,0.604,0.713,0.551,0.547,42.07,MEDIA
2108801,280,152.8607142857143,0.669,0.712,0.712,0.583,42.06,MEDIA
1504307,1681,137.62522308149912,0.597,0.705,0.524,0.561,42.05,MEDIA
1502509,108,139.8148148148148,0.717,0.705,0.759,0.688,41.99,MEDIA
1504950,1040,55.21442307692308,0.634,0.603,0.736,0.564,41.97,MEDIA
2102150,130,148.87692307692308,0.688,0.708,0.687,0.668,41.93,MEDIA
2106607,1887,181.2061473237944,0.648,0.717,0.651,0.577,41.8,MEDIA
2110807,84,267.1904761904762,0.629,0.733,0.637,0.517,41.76,MEDIA
2100154,194,145.02061855670104,0.687,0.703,0.685,0.673,41.74,MEDIA
2106326,254,168.7244094488189,0.621,0.712,0.644,0.508,41.74,MEDIA
1301951,173,191.82080924855487,0.702,0.718,0.795,0.592,41.7,MEDIA
2111029,202,110.6039603960396,0.665,0.682,0.691,0.622,41.69,MEDIA
1301159,1101,165.37238873751136,0.603,0.71,0.595,0.505,41.69,MEDIA
1501105,95,62.37894736842105,0.676,0.617,0.74,0.672,41.69,MEDIA
2112506,3073,119.03058900097624,0.622,0.687,0.621,0.557,41.64,MEDIA
2203255,103,196.0,0.67,0.717,0.735,0.557,41.59,MEDIA
1304260,164,55.83536585365854,0.627,0.595,0.677,0.608,41.43,MEDIA
1600501,628,287.21178343949043,0.56,0.728,0.5,0.452,41.35,MEDIA
2111631,116,78.23275862068965,0.618,0.64,0.672,0.543,41.3,MEDIA
1500909,2019,111.48043585933632,0.661,0.671,0.678,0.635,41.05,MEDIA
1304005,67,177.17910447761193,0.598,0.7,0.563,0.532,40.93,MEDIA
1300839,185,166.51351351351352,0.614,0.696,0.632,0.514,40.9,MEDIA
1507508,101,282.009900990099,0.65,0.719,0.662,0.568,40.89,MEDIA
3157609,121,127.1818181818182,0.589,0.675,0.553,0.538,40.7,MEDIA
1303502,271,125.929889298893,0.713,0.674,0.776,0.688,40.69,MEDIA
1502954,1585,358.8744479495268,0.641,0.718,0.648,0.557,40.44,MEDIA
1304104,296,214.99324324324328,0.707,0.7,0.804,0.617,40.42,MEDIA
2201770,220,36.9,0.543,0.493,0.579,0.557,40.42,MEDIA
2107100,328,142.1890243902439,0.64,0.675,0.62,0.626,40.28,MEDIA
1502756,1356,121.52138643067846,0.549,0.663,0.508,0.476,40.23,MEDIA
2205565,151,234.3046357615894,0.682,0.699,0.701,0.645,40.17,MEDIA
2104602,214,140.6728971962617,0.611,0.672,0.618,0.542,40.15,MEDIA
1300508,1654,194.6795646916566,0.622,0.69,0.512,0.664,40.12,MEDIA
2102507,1208,110.38162251655628,0.633,0.653,0.66,0.586,40.11,MEDIA
1503044,101,243.4158415841584,0.639,0.699,0.622,0.596,40.08,MEDIA
2110104,1403,105.3136136849608,0.609,0.646,0.627,0.554,39.95,MEDIA
1303957,165,218.53048780487805,0.572,0.69,0.54,0.485,39.83,MEDIA
1505700,1216,111.55756578947368,0.614,0.647,0.641,0.553,39.73,MEDIA
2106706,283,107.8339222614841,0.634,0.644,0.659,0.599,39.72,MEDIA
1303007,306,120.17647058823528,0.615,0.652,0.531,0.662,39.67,MEDIA
2607000,1260,64.88968253968254,0.656,0.584,0.786,0.597,39.56,MEDIA
2110005,3221,193.4610369450481,0.64,0.679,0.669,0.571,39.53,MEDIA
2112803,2916,158.5763293310463,0.559,0.668,0.495,0.515,39.52,MEDIA
1600105,310,48.19677419354839,0.524,0.533,0.54,0.499,39.45,MEDIA
1504000,1282,103.84321372854916,0.57,0.634,0.549,0.526,39.36,MEDIA
1500859,1376,105.49127906976744,0.626,0.635,0.668,0.575,39.34,MEDIA
2104909,223,231.94170403587444,0.555,0.683,0.474,0.509,39.31,MEDIA
1300201,184,119.3586956521739,0.723,0.644,0.82,0.704,39.26,MEDIA
2204659,282,175.14893617021278,0.607,0.668,0.597,0.555,39.21,MEDIA
1505486,1972,119.55324543610548,0.633,0.643,0.71,0.547,39.2,MEDIA
2102309,1175,139.9991489361702,0.605,0.652,0.592,0.57,39.07,MEDIA
1302207,144,136.89583333333334,0.673,0.649,0.741,0.628,38.99,MEDIA
2919900,122,96.91803278688523,0.587,0.618,0.528,0.616,38.83,MEDIA
2104628,93,209.43010752688173,0.602,0.666,0.629,0.512,38.61,MEDIA
2108454,1421,97.25404644616468,0.652,0.614,0.666,0.677,38.59,MEDIA
2205573,204,233.3186274509804,0.598,0.67,0.567,0.556,38.58,MEDIA
1600279,2288,138.26354895104896,0.513,0.642,0.516,0.38,38.56,MEDIA
4205175,133,199.6015037593985,0.456,0.661,0.375,0.331,38.46,MEDIA
2102325,2513,266.83326701154,0.631,0.671,0.664,0.558,38.35,MEDIA
1300680,238,192.61344537815123,0.605,0.657,0.589,0.57,38.33,MEDIA
2108405,186,134.67741935483872,0.602,0.635,0.582,0.59,38.28,MEDIA
2106201,162,157.0493827160494,0.553,0.645,0.575,0.44,38.28,MEDIA
1304401,318,118.15723270440252,0.583,0.624,0.534,0.59,38.21,MEDIA
2202083,204,262.26960784313724,0.615,0.667,0.644,0.533,38.17,MEDIA
1718303,187,244.20855614973263,0.615,0.664,0.591,0.589,38.15,MEDIA
1505494,50,289.4,0.572,0.67,0.54,0.507,38.15,MEDIA
2102036,1592,186.90452261306527,0.654,0.652,0.711,0.598,38.14,MEDIA
1502772,1028,255.3394941634241,0.547,0.665,0.484,0.493,38.11,MEDIA
4305371,37,93.67567567567568,0.568,0.601,0.624,0.48,38.08,MEDIA
1302801,229,95.43668122270742,0.682,0.601,0.722,0.724,37.98,MEDIA
2104651,189,211.15873015873012,0.682,0.652,0.745,0.648,37.82,MEDIA
3125903,170,319.49411764705883,0.542,0.666,0.466,0.495,37.76,MEDIA
1600709,377,151.12732095490716,0.605,0.633,0.642,0.54,37.75,MEDIA
3146255,172,194.0174418604651,0.561,0.646,0.611,0.426,37.71,MEDIA
2111078,291,183.8109965635739,0.64,0.642,0.664,0.613,37.64,MEDIA
1507805,129,153.97674418604652,0.629,0.632,0.717,0.539,37.63,MEDIA
2107506,4222,214.68704098554844,0.443,0.649,0.34,0.341,37.62,MEDIA
2703908,86,182.5581395348837,0.593,0.641,0.614,0.523,37.6,MEDIA
2205508,2024,159.56225296442688,0.548,0.632,0.467,0.545,37.52,MEDIA
1600402,955,120.66178010471204,0.588,0.613,0.634,0.516,37.51,MEDIA
1505650,112,160.96428571428572,0.586,0.631,0.58,0.547,37.43,MEDIA
1304062,2461,213.0983340105648,0.577,0.645,0.582,0.504,37.42,MEDIA
2101806,85,155.21176470588236,0.625,0.628,0.581,0.667,37.39,MEDIA
1502004,1157,102.76404494382022,0.606,0.597,0.589,0.633,37.37,MEDIA
2300754,1940,147.94432989690722,0.6,0.621,0.547,0.632,37.16,MEDIA
2509909,83,182.53012048192767,0.606,0.633,0.613,0.571,37.16,MEDIA
1507474,106,203.0754716981132,0.633,0.638,0.635,0.625,37.15,MEDIA
1718808,147,163.1156462585034,0.556,0.626,0.556,0.486,37.11,MEDIA
2103208,4144,108.36076254826254,0.602,0.595,0.652,0.559,37.01,MEDIA
1500701,1310,122.12213740458016,0.659,0.603,0.726,0.647,36.91,MEDIA
2111532,164,250.5731707317073,0.616,0.642,0.634,0.573,36.89,MEDIA
1300904,199,125.79396984924622,0.62,0.603,0.687,0.569,36.79,MEDIA
2100402,116,98.75862068965516,0.592,0.582,0.658,0.537,36.75,MEDIA
1200336,358,92.19832402234636,0.537,0.575,0.595,0.44,36.74,MEDIA
1506104,56,121.14285714285714,0.603,0.599,0.586,0.624,36.73,MEDIA
1500503,1316,97.92933130699087,0.525,0.58,0.52,0.475,36.69,MEDIA
2103505,2134,154.7464854732896,0.603,0.615,0.651,0.543,36.68,MEDIA
2206209,2003,101.28157763354967,0.601,0.583,0.611,0.61,36.68,MEDIA
1300029,202,157.1039603960396,0.608,0.614,0.733,0.476,36.58,MEDIA
2707800,141,110.59574468085108,0.633,0.589,0.74,0.57,36.58,MEDIA
2101608,3562,210.5536215609208,0.582,0.629,0.59,0.528,36.56,MEDIA
1501758,44,207.79545454545453,0.558,0.627,0.594,0.454,36.49,MEDIA
2100303,296,151.27364864864865,0.668,0.607,0.768,0.629,36.32,MEDIA
2610608,2888,165.8812326869806,0.543,0.61,0.507,0.513,36.18,MEDIA
2111201,7957,183.8920447404801,0.449,0.614,0.371,0.363,36.1,MEDIA
2101707,3214,97.95550715619166,0.612,0.569,0.612,0.654,36.08,MEDIA
1505106,2042,190.6733594515181,0.566,0.613,0.542,0.542,35.94,MEDIA
2709202,1107,124.9936766034327,0.612,0.587,0.661,0.589,35.93,MEDIA
2110500,2117,109.95606991025036,0.601,0.576,0.566,0.661,35.89,MEDIA
2106508,1628,101.99324324324324,0.565,0.569,0.56,0.567,35.87,MEDIA
1302108,93,107.95698924731182,0.636,0.573,0.743,0.591,35.81,MEDIA
1301506,265,104.4377358490566,0.667,0.57,0.801,0.629,35.81,MEDIA
2903805,1247,169.39935846030474,0.633,0.604,0.598,0.698,35.79,MEDIA
2104677,1297,114.3693138010794,0.574,0.573,0.592,0.558,35.55,MEDIA
2208700,347,193.37752161383284,0.565,0.605,0.537,0.554,35.46,MEDIA
2109700,83,208.6265060240964,0.597,0.608,0.619,0.565,35.43,MEDIA
2105708,2593,139.71693019668336,0.568,0.581,0.544,0.58,35.17,MEDIA
2110856,113,178.35398230088495,0.559,0.595,0.624,0.457,35.14,MEDIA
2800704,130,153.90769230769232,0.605,0.586,0.672,0.557,35.1,MEDIA
1506302,1303,123.7766692248657,0.51,0.57,0.532,0.427,35.04,MEDIA
2112852,98,221.6734693877551,0.61,0.603,0.653,0.575,35.01,MEDIA
2506103,108,167.5,0.583,0.588,0.573,0.587,34.94,MEDIA
2102101,1840,87.5054347826087,0.584,0.537,0.637,0.579,34.94,MEDIA
2106755,333,138.00300300300302,0.541,0.573,0.529,0.522,34.78,MEDIA
2107407,1198,161.9215358931553,0.576,0.583,0.632,0.512,34.77,MEDIA
2205532,181,172.1988950276243,0.591,0.585,0.575,0.613,34.69,MEDIA
2100600,1533,186.75146771037183,0.617,0.589,0.672,0.589,34.68,MEDIA
2517001,80,107.4625,0.576,0.552,0.583,0.594,34.68,MEDIA
2111789,312,136.1698717948718,0.639,0.569,0.722,0.626,34.61,MEDIA
1600204,255,183.3294117647059,0.543,0.585,0.559,0.486,34.51,MEDIA
2924207,209,152.07655502392345,0.593,0.574,0.629,0.575,34.48,MEDIA
1503903,1537,165.5868575146389,0.531,0.578,0.474,0.541,34.43,MEDIA
1707405,291,202.5257731958763,0.616,0.588,0.577,0.684,34.41,MEDIA
2101970,135,93.92592592592592,0.59,0.534,0.698,0.538,34.38,MEDIA
1505601,49,190.6326530612245,0.576,0.584,0.589,0.554,34.35,MEDIA
2615805,1392,134.0352011494253,0.621,0.563,0.659,0.64,34.34,MEDIA
2915007,319,165.53918495297805,0.602,0.576,0.585,0.644,34.32,MEDIA
1504901,1631,107.52912323727774,0.578,0.545,0.596,0.594,34.29,MEDIA
1304302,289,157.65051903114187,0.527,0.572,0.512,0.497,34.25,MEDIA
2805109,180,242.96666666666667,0.544,0.592,0.535,0.505,34.2,MEDIA
1507706,1214,77.75782537067545,0.542,0.51,0.573,0.543,34.19,MEDIA
2505238,284,131.41197183098592,0.644,0.559,0.683,0.691,34.19,MEDIA
1600535,509,121.59135559921414,0.509,0.553,0.484,0.489,34.18,MEDIA
1504505,118,114.33898305084746,0.699,0.547,0.809,0.74,34.12,MEDIA
2100956,1380,150.18840579710144,0.643,0.566,0.75,0.612,34.09,MEDIA
2701803,173,92.39884393063583,0.604,0.526,0.601,0.684,34.03,MEDIA
1504422,4701,244.0997660072325,0.455,0.588,0.38,0.398,33.97,MEDIA
2111508,2099,183.66079085278704,0.595,0.574,0.651,0.559,33.9,MEDIA
1507979,83,177.02409638554218,0.492,0.572,0.462,0.442,33.9,MEDIA
2303931,153,203.9281045751634,0.581,0.579,0.577,0.588,33.89,MEDIA
1503101,1445,75.67612456747405,0.604,0.501,0.701,0.611,33.88,MEDIA
3162401,1490,165.1355704697987,0.525,0.567,0.475,0.533,33.83,MEDIA
3136579,141,277.6099290780142,0.631,0.59,0.628,0.674,33.82,MEDIA
1501451,102,224.843137254902,0.573,0.582,0.549,0.588,33.82,MEDIA
2205607,264,250.6439393939394,0.538,0.586,0.525,0.503,33.81,MEDIA
2613701,3963,242.86727226848348,0.511,0.583,0.445,0.506,33.71,MEDIA
1500206,2895,111.8901554404145,0.607,0.537,0.628,0.655,33.67,MEDIA
1503200,1919,179.62688900468993,0.555,0.568,0.502,0.596,33.63,MEDIA
2515104,368,244.22282608695653,0.548,0.581,0.502,0.56,33.59,MEDIA
1501501,2825,156.36778761061947,0.457,0.559,0.4,0.411,33.57,MEDIA
2109809,2344,139.2141638225256,0.59,0.548,0.602,0.621,33.37,MEDIA
1504703,3942,113.9482496194825,0.565,0.533,0.639,0.523,33.36,MEDIA
2101004,1540,135.45,0.503,0.545,0.486,0.477,33.31,MEDIA
1300805,1502,158.4733688415446,0.626,0.555,0.635,0.688,33.3,MEDIA
3118106,103,274.90291262135923,0.56,0.58,0.585,0.514,33.29,MEDIA
2701209,210,159.53809523809525,0.597,0.555,0.649,0.588,33.28,MEDIA
1717800,196,386.3775510204082,0.596,0.589,0.649,0.551,33.24,MEDIA
1600253,283,50.39929328621909,0.591,0.428,0.628,0.716,33.22,MEDIA
2707206,214,149.98130841121494,0.59,0.55,0.549,0.67,33.21,MEDIA
1503705,2008,240.5542828685259,0.631,0.571,0.722,0.599,33.07,MEDIA
2919108,166,144.84939759036143,0.648,0.545,0.646,0.754,33.06,MEDIA
2201705,166,202.19277108433732,0.513,0.563,0.434,0.543,33.04,MEDIA
2107902,281,155.16370106761565,0.611,0.547,0.692,0.593,32.93,MEDIA
2108009,312,163.14102564102564,0.551,0.549,0.554,0.549,32.88,MEDIA
2205359,105,137.66666666666666,0.561,0.538,0.513,0.632,32.86,MEDIA
2106375,141,151.60992907801418,0.595,0.544,0.647,0.593,32.85,MEDIA
1200302,1500,98.87933333333334,0.639,0.511,0.799,0.607,32.84,MEDIA
2102200,1338,97.01494768310911,0.607,0.509,0.59,0.723,32.83,MEDIA
2107357,273,214.6959706959707,0.54,0.562,0.528,0.531,32.83,MEDIA
1500404,3155,189.95340729001583,0.571,0.555,0.578,0.579,32.76,MEDIA
1301654,190,78.60526315789474,0.555,0.484,0.679,0.503,32.69,MEDIA
1302553,122,188.14754098360652,0.535,0.552,0.504,0.549,32.62,MEDIA
2202737,96,173.73958333333334,0.543,0.547,0.494,0.588,32.58,MEDIA
2107803,1591,161.47140163419232,0.594,0.543,0.646,0.592,32.58,MEDIA
