cod_ibge,total_familias,renda_media_pc
1100015,361,393.5623268698061
1100023,2753,363.96730839084637
1100031,55,325.7090909090909
1100049,2259,400.8539176626826
1100056,271,461.9372693726937
1100064,181,455.96685082872926
1100072,111,315.9009009009009
1100080,287,313.37282229965155
1100098,435,430.8873563218391
1100106,1471,297.16995241332427
1100114,1530,408.5535947712418
1100122,3368,463.145486935867
1100130,527,326.66034155597725
1100148,373,370.32975871313675
1100155,494,530.2408906882591
1100189,320,491.00625
1100205,13092,406.2130308585396
1100254,537,426.32029795158286
1100262,47,329.0
1100288,1417,438.6923076923077
1100296,149,545.5704697986578
1100304,2834,441.2942836979534
1100320,286,384.11538461538464
1100338,383,300.5013054830287
1100346,375,412.20533333333333
1100379,173,317.46820809248555
1100403,279,352.80645161290323
1100452,508,288.68700787401576
1100502,181,397.90055248618785
1100601,99,454.72727272727275
1100700,167,354.3532934131737
1100809,1377,313.8888888888889
1100908,49,376.81632653061223
1100924,105,324.8285714285714
1100940,289,339.21107266435985
1101005,181,255.04419889502762
1101104,171,395.4502923976608
1101203,118,328.7118644067797
1101302,283,467.1696113074205
1101401,210,417.0571428571429
1101435,123,384.260162601626
1101450,101,426.05940594059405
1101468,52,266.0769230769231
1101476,68,539.2647058823529
1101484,85,455.9764705882353
1101492,290,398.67931034482757
1101500,234,381.1923076923077
1101559,60,257.0833333333333
1101609,158,349.3987341772152
1101708,219,477.1826484018265
1101757,160,365.7625
1101807,150,335.74666666666667
1200013,254,234.4251968503937
1200054,145,169.1793103448276
1200104,1178,207.22920203735146
1200138,159,165.0440251572327
1200179,187,177.68449197860963
1200203,3271,120.531641699786
1200252,218,267.36866359447004
1200302,1500,98.87933333333334
1200328,111,112.72972972972973
1200336,358,92.19832402234637
1200344,221,179.69230769230768
1200351,292,94.81506849315069
1200385,220,249.79090909090908
1200393,167,98.90419161676647
1200401,7475,189.58073578595318
1200427,268,145.7537313432836
1200435,115,96.69565217391305
1200450,1324,136.39501510574019
1200500,1988,139.59557344064388
1200609,2039,112.24178518881804
1200708,262,238.3740458015267
1200807,318,150.0062893081761
1300029,202,157.1039603960396
1300060,162,249.2037037037037
1300086,159,158.0691823899371
1300102,280,184.64642857142857
1300144,185,259.43783783783783
1300201,184,119.3586956521739
1300300,1936,110.3305785123967
1300409,262,222.50763358778627
1300508,1654,194.6795646916566
1300607,1604,177.3422693266833
1300631,1348,122.5927299703264
1300680,238,192.61344537815125
1300706,1781,217.4553621560921
1300805,1502,158.4733688415446
1300839,185,166.51351351351352
1300904,199,125.79396984924622
1301001,1764,147.53828701077708
1301100,1662,208.10843373493975
1301159,1101,165.37238873751136
1301209,3275,136.13714111178987
1301308,354,258.683615819209
1301407,1547,95.98188874514877
1301506,265,104.43773584905661
1301605,350,197.04
1301654,190,78.60526315789474
1301704,2595,221.35260115606937
1301803,284,81.0669014084507
1301852,3596,225.54004449388208
1301902,3819,239.91228070175438
1301951,173,191.82080924855492
1302009,70,268.95714285714286
1302108,93,107.95698924731182
1302207,144,136.89583333333334
1302306,253,121.56521739130434
1302405,2474,198.1050929668553
1302504,5193,166.50086688499326
1302553,122,188.14754098360655
1302603,45467,258.1249257703389
1302702,1948,214.38880328710837
1302801,229,95.43668122270742
1302900,2951,147.24726775956285
1303007,306,120.17647058823529
1303106,1257,161.20525059665871
1303205,89,268.53932584269666
1303304,316,181.39556962025316
1303403,4904,182.66183968998573
1303502,271,125.92988929889299
1303536,1320,225.45075757575756
1303569,160,217.7625
1303601,216,150.02314814814815
1303700,1262,134.310618066561
1303809,1660,90.38795180722892
1303908,1359,175.17954378219278
1303957,165,218.53048780487805
1304005,67,177.17910447761193
1304062,2461,213.0983340105648
1304104,296,214.99324324324326
1304203,2831,186.11444719180503
1304237,273,148.25274725274724
1304260,164,55.83536585365854
1304302,289,157.65051903114187
1304401,318,118.15723270440252
1400027,320,175.3875
1400050,504,111.65873015873017
1400100,10195,310.1208435507602
1400159,530,110.61320754716981
1400175,587,187.64395229982964
1400209,833,204.91836734693877
1400233,350,233.94285714285715
1400282,327,194.217125382263
1400308,761,151.33508541392905
1400407,328,86.28658536585365
1400456,399,231.06015037593986
1400472,1687,214.4279786603438
1400506,221,196.34545454545454
1400605,244,188.75
1400704,299,59.76254180602007
1500107,8865,121.4223350253807
1500131,63,249.57142857142858
1500206,2895,111.8901554404145
1500305,1817,122.70005503577325
1500347,117,202.68103448275863
1500404,3155,189.95340729001586
1500503,1316,97.92933130699087
1500602,3989,240.93607420406116
1500701,1310,122.12213740458016
1500800,15932,291.6949971753186
1500859,1376,105.49127906976744
1500909,2019,111.48043585933631
1500958,1163,171.6809974204643
1501006,66,175.16666666666666
1501105,95,62.37894736842105
1501204,1520,96.14285714285714
1501253,17,291.29411764705884
1501303,4654,192.2322733132789
1501402,40950,232.04066132656052
1501451,102,224.84313725490196
1501501,2825,156.36778761061947
1501576,95,203.14736842105262
1501600,73,160.42465753424656
1501709,4932,210.95174371451745
1501725,90,261.73333333333335
1501758,44,207.79545454545453
1501782,2007,205.2859990034878
1501808,4132,126.69361084220716
1501907,1374,92.5749636098981
1501956,1102,67.33756805807623
1502004,1157,102.76404494382022
1502103,5081,119.08195429472025
1502152,1402,233.77603423680458
1502202,2375,196.6004210526316
1502301,2498,211.60728582866292
1502400,6013,305.1094295692666
1502509,108,139.8148148148148
1502608,54,199.46296296296296
1502707,1697,381.08485562757807
1502756,1356,121.52138643067846
1502764,54,225.40740740740742
1502772,1028,255.33949416342412
1502806,1325,86.5222641509434
1502855,73,177.58904109589042
1502905,2196,116.36520947176685
1502939,1939,355.8525012893244
1502954,1585,358.8744479495268
1503002,55,145.8
1503044,101,243.41584158415841
1503077,1261,133.1054718477399
1503093,1222,274.6734860883797
1503101,1445,75.67612456747405
1503200,1919,179.62688900468993
1503309,2844,157.9212376933896
1503408,74,110.41891891891892
1503457,1552,139.44072164948454
1503507,1809,136.76395798783858
1503606,4686,274.40396927016644
1503705,2008,240.5542828685259
1503754,84,131.57142857142858
1503804,2085,204.24748201438848
1503903,1537,165.5868575146389
1504000,1282,103.84321372854915
1504059,1842,182.34527687296418
1504109,54,209.38888888888889
1504208,7529,356.0312126444415
1504307,1681,137.62522308149912
1504406,1142,111.0446584938704
1504422,4701,244.09976600723252
1504455,1221,166.7977067977068
1504505,118,114.33898305084746
1504604,1654,106.50574712643679
1504703,3942,113.9482496194825
1504752,111,122.76576576576576
1504802,2803,191.09561184445238
1504901,1631,107.52912323727774
1504950,1040,55.214423076923076
1504976,56,201.48214285714286
1505007,82,159.82926829268294
1505031,106,416.8018867924528
1505064,2006,203.35244267198405
1505106,2042,190.6733594515181
1505205,1471,84.30408163265307
1505304,2536,206.51261829652998
1505403,129,180.25581395348837
1505437,1428,250.24649859943978
1505486,1972,119.55324543610547
1505494,50,289.4
1505502,3865,250.63027166882276
1505536,4576,308.80157342657344
1505551,52,317.8076923076923
1505601,49,190.6326530612245
1505635,72,283.2638888888889
1505650,112,160.96428571428572
1505700,1216,111.55756578947368
1505809,2039,164.91854759568204
1505908,1403,106.52459016393442
1506005,1859,91.7132867132867
1506104,56,121.14285714285714
1506112,63,105.7936507936508
1506138,2538,332.7789598108747
1506161,74,324.43243243243245
1506187,1419,291.21423537702606
1506195,1139,231.40825285338016
1506203,1342,189.827868852459
1506302,1303,123.7766692248657
1506351,27,307.44444444444446
1506401,53,54.283018867924525
1506500,2340,211.23760683760685
1506559,1198,132.18447412353925
1506583,125,269.24
1506609,1167,179.65552699228792
1506708,1615,258.3250773993808
1506807,12633,315.8260112404021
1506906,47,158.25531914893617
1507003,1255,155.56972111553785
1507102,97,125.65979381443299
1507151,117,213.74358974358975
1507201,1310,116.58091603053435
1507300,2243,164.9170753455194
1507409,100,146.16
1507458,147,264.3469387755102
1507466,44,118.0
1507474,106,203.0754716981132
1507508,101,282.009900990099
1507607,2420,148.9694214876033
1507706,1214,77.75782537067545
1507755,25,196.92
1507805,129,153.97674418604652
1507904,1085,176.09493087557604
1507953,2778,181.5575953923686
1507961,77,142.25974025974025
1507979,83,177.02409638554218
1508001,2575,153.71922330097087
1508035,1321,96.29068887206661
1508050,82,265.109756097561
1508084,1146,398.3979057591623
1508100,4160,321.0170673076923
1508126,1053,174.332383665717
1508159,1793,208.06971556051312
1508209,2440,229.7061475409836
1508308,2309,82.04374187960155
1508357,69,213.231884057971
1508407,1454,279.11485557083904
1600055,161,104.84472049689441
1600105,310,48.196774193548386
1600154,335,128.3223880597015
1600204,255,183.3294117647059
1600212,138,113.18840579710145
1600238,183,193.13114754098362
1600253,283,50.399293286219084
1600279,2288,138.26354895104896
1600303,11118,256.013311746717
1600402,955,120.66178010471204
1600501,628,287.21178343949043
1600535,509,121.59135559921414
1600550,111,41.648648648648646
1600600,4217,212.01707374911075
1600709,377,151.12732095490716
1600808,436,90.40137614678899
1700251,73,385.54794520547944
1700301,160,274.525
1700350,212,366.5377358490566
1700400,218,317.36238532110093
1700707,233,424.0128755364807
1701002,342,260.3801169590643
1701051,91,438.010989010989
1701101,121,347.08264462809916
1701309,190,367.9263157894737
1701903,172,476.13953488372096
1702000,231,494.6277056277056
1702109,6515,369.4052809333743
1702158,178,222.01685393258427
1702208,1609,264.94592914853945
1702307,159,338.07547169811323
1702406,367,301.51771117166214
1702554,512,406.6484375
1702703,147,489.5034013605442
1702901,389,212.94858611825194
1703008,266,227.48496240601503
1703057,92,321.4673913043478
1703073,123,309.0243902439024
1703107,212,412.1839622641509
1703206,123,311.3414634146341
1703305,119,111.88235294117646
1703602,78,377.06410256410254
1703701,168,382.3154761904762
1703800,233,392.3175965665236
1703826,79,196.15189873417722
1703842,212,298.9481132075472
1703867,101,399.3960396039604
1703883,90,406.3333333333333
1703891,117,198.07692307692307
1703909,212,334.54716981132077
1704105,71,359.4366197183099
1704600,49,258.46938775510205
1705102,127,360.66141732283467
1705508,1754,423.12371721778794
1705557,190,312.6736842105263
1705607,134,419.23880597014926
1706001,192,258.0104166666667
1706100,254,337.56299212598424
1706258,55,499.6181818181818
1706506,155,336.65806451612906
1707009,444,325.6801801801802
1707108,198,304.3484848484849
1707207,284,256.6443661971831
1707306,140,373.27142857142854
1707405,291,202.5257731958763
1707553,116,350.2241379310345
1707652,169,391.4674556213018
1707702,258,264.2906976744186
1708205,433,278.2448036951501
1708254,125,269.072
1708304,218,215.80275229357798
1709005,327,168.14984709480123
1709302,504,331.80357142857144
1709500,2927,430.8459173214896
1709807,62,258.741935483871
1710508,213,166.94366197183098
1710706,160,278.425
1710904,166,318.144578313253
1711100,78,410.2564102564103
1711506,139,551.2517985611511
1711803,97,439.78350515463916
1711902,235,196.46382978723403
1711951,133,232.99248120300751
1712009,70,402.42857142857144
1712157,54,302.27777777777777
1712405,87,242.75862068965517
1712454,97,269.659793814433
1712504,146,335.93150684931504
1712702,43,210.6046511627907
1712801,131,310.618320610687
1713205,568,338.86091549295776
1713304,402,305.1094527363184
1713601,204,209.24019607843138
1713700,88,296.46590909090907
1713809,201,243.99502487562188
1713957,102,393.22549019607845
1714203,265,375.68301886792455
1714302,128,186.109375
1714880,308,302.19805194805195
1715002,130,327.3615384615385
1715101,112,107.34821428571429
1715150,64,378.359375
1715259,83,361.32530120481925
1715507,47,334.59574468085106
1715705,152,297.32236842105266
1715754,268,482.1529850746269
1716109,1534,366.79465449804434
1716208,367,210.46049046321525
1716307,110,280.06363636363636
1716505,247,359.38461538461536
1716604,313,362.15654952076676
1716653,194,386.94329896907215
1716703,255,348.7098039215686
1717008,151,405.2450331125828
1717206,104,261.625
1717503,192,442.5677083333333
1717800,196,386.3775510204082
1717909,202,297.96039603960395
1718006,88,431.95454545454544
1718204,2822,353.00106307583275
1718303,187,244.20855614973263
1718402,92,310.82608695652175
1718451,90,341.44444444444446
1718501,110,167.37272727272727
1718550,162,242.7716049382716
1718659,38,267.1578947368421
1718709,114,404.7894736842105
1718758,159,260.7987421383648
1718808,147,163.1156462585034
1718840,107,336.10280373831773
1718865,176,409.01704545454544
1718881,108,378.4259259259259
1718899,57,245.66666666666666
1718907,147,294.98639455782313
1719004,61,320.59016393442624
1720002,73,289.09589041095893
1720101,119,210.69747899159663
1720150,46,408.54347826086956
1720200,349,173.73352435530086
1720259,101,403.0
1720309,173,192.67052023121389
1720499,169,378.7869822485207
1720655,191,212.95811518324606
1720804,285,269.6877192982456
1720853,50,355.96
1720903,612,292.00816993464053
1720937,61,399.75409836065575
1720978,70,334.9
1721000,8627,427.4218152312507
1721109,243,209.69135802469137
1721208,665,291.2105263157895
1721257,49,348.3265306122449
1721307,107,215.7570093457944
1722081,323,310.5882352941176
1722107,389,291.827763496144
2100055,4352,323.80905330882354
2100105,103,192.19417475728156
2100154,194,145.02061855670104
2100204,1530,122.9078431372549
2100303,296,151.27364864864865
2100402,116,98.75862068965517
2100436,1446,231.95919778699863
2100477,1489,173.02619207521826
2100501,126,290.6746031746032
2100550,106,133.58490566037736
